sample_num,HF_y0_z20_T20,HF_y0_z50_T20,HF_y0_z75_T20,HF_y0_z100_T20,RMSE_T20,HF_y0_z20_T40,HF_y0_z50_T40,HF_y0_z75_T40,HF_y0_z100_T40,RMSE_T40,HF_y0_z20_T60,HF_y0_z50_T60,HF_y0_z75_T60,HF_y0_z100_T60,RMSE_T60,HF_y0_z20_T80,HF_y0_z50_T80,HF_y0_z75_T80,HF_y0_z100_T80,RMSE_T80
Case0_sample0,12.842854085714285,22.547244,37.66070228571429,43.16498971428571,2.8488846857142858,5.628548057142857,10.919828714285714,14.688665971428573,0.9106508814285714,2.315672457142857,4.224147028571428,6.794656600000001,0.48986834428571424,1.2560177671428572,2.0213242714285715,3.240860657142857,9.477113676706672,12.727190790742302,11.103172411398262,11.878863544486343
Case0_sample1,15.780413428571425,36.695334714285714,49.81699485714285,59.551425142857134,4.492200985714286,8.88497157142857,14.031078285714285,22.330085,1.5345961,3.745996557142857,5.2779684,8.790508957142858,0.8091643585714287,1.7602943142857141,2.3882825857142858,3.6731357428571427,7.790608036132015,6.743567667846584,6.982114086771639,5.320209820933639
Case0_sample2,17.07942557142857,35.72623685714286,51.543399285714294,57.716991285714286,3.8297088571428572,7.948415000000002,15.235763,19.770974,1.3420579042857141,3.195460528571428,5.849651214285714,8.726039357142858,0.6929616485714286,1.5995677142857143,2.5625915,4.045491157142857,7.512211694437106,7.441880403956063,6.255863486715747,6.159666732757064
Case0_sample3,17.612254857142858,41.29091771428572,57.61356271428572,65.75907485714286,4.608084742857143,11.489196942857145,18.83136357142857,26.438533999999997,1.7809633,4.354104228571429,7.868817242857142,11.127956085714285,0.927817882857143,1.9510125571428572,3.6265246,4.382746028571429,7.0054539691535265,4.935488977430456,5.010996848564517,4.639929058305925
Case0_sample4,8.424309185714286,20.970626857142857,26.548605714285713,30.066324428571427,1.7532839142857146,4.7888905428571436,8.04070797142857,8.465842528571427,0.7263138042857143,1.7048426571428572,3.5773426571428573,3.695258414285714,0.3922841328571428,0.8431007542857143,1.4926197,1.9165244714285714,11.581439107725242,13.691435568818918,16.12834089400316,19.054461103040836
Case0_sample5,10.975496485714286,29.055821857142856,36.379060571428575,47.828247,2.837911542857143,5.920701071428572,8.764767285714287,14.418241357142858,1.012021297142857,2.1530698,3.7058413142857143,5.600388385714285,0.49259341,1.0966881085714284,1.8324371857142856,2.537076114285714,10.226320689219389,10.306719395300073,12.303986548894517,10.889924882307653
Case0_sample6,12.632713857142857,29.74143914285714,41.573586714285724,53.18750014285714,3.2422773142857144,7.324627942857143,12.961363614285714,16.209596571428573,1.3331399142857143,2.6551570714285715,5.053870542857143,5.5703155,0.7501320571428572,1.3184594099999998,2.475539042857143,2.3807166428571427,9.381671570662531,9.544545407672338,9.033697780059049,9.151950096849193
Case0_sample7,9.556604371428572,19.56209,29.58531728571429,39.58582828571429,2.219901528571428,5.151259028571429,7.711160471428571,9.763908914285716,0.9736453128571431,2.1229345428571427,3.3316389857142856,3.709122757142857,0.5542502699999999,1.1980149571428569,1.7338650999999998,1.7920843000000002,10.955903329385025,14.079739270983286,15.061540776760397,15.305722089780561
Case0_sample8,13.18907342857143,28.20277871428571,43.26253714285714,43.599649285714285,2.685722271428572,7.34042127142857,12.546107685714286,12.7976473,1.0432429885714285,2.727143714285714,4.815213514285714,5.5132397285714285,0.6135490585714286,1.4131923571428573,2.353442642857143,2.5428460999999998,9.345916334015728,10.053916103936185,8.780397764582679,12.645036920973988
Case0_sample9,13.366673471428571,31.550046000000002,50.18784785714286,57.551368000000004,3.9196305000000002,8.085744714285715,14.888438285714287,18.34511257142857,1.5233471285714284,3.2947782428571424,6.150390014285715,6.849934642857143,0.8634865271428572,1.7124374142857142,2.889690314285714,2.8454560714285715,8.889121331547114,8.544926973396807,6.306934046340263,7.451476029163579
Case1_sample0,12.696360642857142,25.81146842857143,44.104245142857145,47.049474857142854,2.8818664714285718,6.904562328571429,13.424369014285714,13.959528428571428,0.9651855628571429,2.8672904999999997,5.307738971428571,6.390713642857143,0.5256658985714285,1.24958988,2.380210414285714,2.9822125428571424,9.51609775519907,11.049568884277457,8.157223005730952,11.01466385726239
Case1_sample1,9.339504685714285,19.103903857142857,28.553060428571428,33.270244285714284,2.1741119428571425,4.185569328571428,6.210203700000001,9.6940432,0.8490804557142857,1.6427115428571428,2.2369607285714284,4.0596108285714285,0.5622248828571429,0.912657497142857,1.2727553099999998,1.7658041999999998,11.073887249510074,14.587810247467797,16.08444081390254,17.468025030555662
Case1_sample2,17.143694285714286,30.134950857142854,48.677486,56.006881714285726,3.863929985714286,7.830185014285715,14.341819857142857,20.184287285714284,1.2758457699999999,3.034471514285715,5.554125257142857,8.8530857,0.7442386985714287,1.4763572,2.4853174714285715,3.7314168285714286,7.48676339171982,9.173341923229701,6.89288420796941,6.206191165833362
Case1_sample3,10.901906214285715,20.60793157142857,32.62340785714286,39.03412000000001,2.646141528571429,4.859455685714286,9.212987114285713,9.153291385714285,1.0041059642857142,1.9393686285714284,3.431251685714286,3.355889942857143,0.4888879814285714,1.0084267342857145,1.4745802857142856,1.7234458714285714,10.300686735777584,13.767602022385342,13.539024375694948,15.749259911869709
Case1_sample4,17.97481557142857,39.99950442857143,56.12298471428572,59.957477,4.0033596,10.560726200000001,16.033194285714284,22.041362428571425,1.4560857757142858,4.099870742857143,5.93261107142857,8.674231699999998,0.8085496442857144,1.6090122171428571,2.492845414285714,3.5444820285714287,7.110067943645292,5.5194135167867096,6.285961562806896,5.482173124987025
Case1_sample5,16.980449571428572,40.142416142857144,57.60722928571429,68.64290028571429,4.220113857142857,11.013467414285714,21.81097257142857,24.842625,1.49117345,4.935882257142857,8.053533014285716,8.497837328571428,0.7204119657142857,2.2063765571428573,3.406568985714286,3.3983569571428567,7.415996784302186,4.998137584644361,4.369833516384205,6.749563441261377
Case1_sample6,10.620068857142856,23.715225857142855,36.507265,36.649073428571434,2.650231528571428,6.486590785714285,8.646440485714285,10.737131642857142,0.9256959428571427,2.4498871714285717,3.6813805285714283,4.656379214285714,0.4508585457142857,1.209498442857143,1.8064527285714285,2.338326128571429,10.43160875000059,12.040204518861419,12.308209203253515,15.783945750030757
Case1_sample7,14.528382285714287,30.09402271428572,47.13438585714285,50.947870285714295,3.6124953714285715,8.513411285714286,12.232998400000001,14.502737714285715,1.2696032857142858,3.161895285714285,4.381849757142857,6.001586514285715,0.6456078942857142,1.4433399628571428,2.1571151285714287,2.8648889714285715,8.552910451780582,8.979546705026616,8.241763811734394,9.97777455842452
Case1_sample8,14.018521142857143,36.36185342857143,51.397923,62.648787142857145,3.555013642857143,9.036229700000002,16.922857999999998,20.331896,1.2243135714285713,3.4285962857142858,6.990064471428572,7.723542014285714,0.6722989457142858,1.6575940571428571,3.0896141714285714,3.4522328285714283,8.773449992592466,6.8628840947034515,5.2235457312326,6.555729129778096
Case1_sample9,11.881097142857142,23.417131428571427,38.782305,49.53342342857143,2.8640654714285714,5.9456758857142855,12.112923685714284,13.338973428571427,1.094864412857143,2.4553472857142857,4.973767071428571,4.946691085714286,0.56721388,1.2956654457142858,2.3541336285714283,2.0671064142857145,9.827570936720946,12.28032934029552,10.190729999641707,11.063928393616813
