sample_num,HF_y-25_z20,HF_y-15_z20,HF_y0_z20,HF_y15_z20,HF_y25_z20,HF_y-25_z50,HF_y-15_z50,HF_y0_z50,HF_y15_z50,HF_y25_z50,HF_y-25_z75,HF_y-15_z75,HF_y0_z75,HF_y15_z75,HF_y25_z75,HF_y-25_z100,HF_y-15_z100,HF_y0_z100,HF_y15_z100,HF_y25_z100,RMSE_z20,RMSE_z50,RMSE_z75,RMSE_z100
Case0_sample0,8.923615781034483,21.232731948275873,48.61909703448278,15.53632860344827,8.91704606724138,4.095215663793104,8.484273863793103,14.273140368965516,6.437962629310343,4.091752194827586,2.1572033465517233,4.120640044827585,5.737474296551723,3.1993901844827586,2.092896622413793,1.22573682,2.082151775862069,2.6215462965517244,1.7555683258620693,1.1990574055172414,30.362607252319233,15.311085778201019,8.632716110289957,4.402495843038306
Case0_sample1,8.68644910862069,20.75405232758621,48.48085553448274,15.160520603448274,8.63519077413793,3.9935004741379316,8.353700377586208,14.61871229827586,6.292175370689656,3.950593712068965,2.016792277586207,4.081723848275862,5.739265351724137,3.06288379137931,1.9962320499999993,1.1538404703448277,2.1186157241379315,2.5602531913793096,1.6875198527586206,1.1156221570689655,30.673261870951524,15.351753872530074,8.708769880144313,4.455703709079142
Case0_sample10,8.086224446551723,19.431769586206894,43.5441984137931,13.920871034482763,7.920742198275862,3.5986155775862065,7.440526294827585,12.40320238103448,5.507819686206895,3.5263656155172405,1.8551963103448277,3.6053283844827573,5.051968765517242,2.687013384482758,1.784432832758621,1.0867334929310344,1.9891722551724136,2.4078155499999996,1.4933179086206898,1.0240219972413795,31.956552885410208,16.26302864752312,9.103335297900026,4.583359109879552
Case0_sample11,10.025236632758618,23.662579551724132,53.09813679310346,17.75621044827586,10.160552653448274,4.617242279310345,9.465184098275863,16.21683494827586,7.399225036206899,4.650083841379311,2.3757935241379315,4.640331455172412,6.397260837931034,3.5503180706896558,2.3240053793103446,1.3372630455172416,2.3723179706896556,2.827565675862069,1.8269733862068964,1.2542671912068966,28.53483571026538,14.365526090500282,8.238188160787308,4.264010488106207
Case0_sample12,11.022619263793107,25.920028241379306,57.54604979310344,19.146263051724137,10.974494044827585,5.257008477586207,11.034702670689658,19.53698424137931,8.215334786206897,5.187568894827585,2.722472193103449,5.6444392379310315,8.022395593103449,4.055471701724138,2.6253500137931023,1.511764875862069,2.918422074137931,3.563744963793104,2.1397009551724135,1.4197824551724136,27.22250843727037,13.163827744261843,7.499119359637741,3.874088037568176
Case0_sample13,7.78674928275862,18.51576136206896,43.293882275862046,13.568538344827587,7.793045072413795,3.59981078275862,7.39685685689655,13.793879865517242,5.5951455482758625,3.5783000844827586,1.8601322137931033,3.7003941327586207,5.766042765517242,2.9332719999999983,1.902984205172414,1.0569616703448277,1.963949418965517,2.6565705275862066,1.6294757046551727,1.0892347887931038,32.34425838936651,15.975567159497407,8.831067125464907,4.484462268471139
Case0_sample14,8.125017018965515,19.25026793103448,46.64587317241381,14.218949017241384,8.159909672413793,3.7352494155172415,7.815274720689657,13.482673487931034,5.834207836206895,3.696479562068966,1.982397594827586,3.8161166534482764,5.460203974137931,3.0180707482758624,1.9256951051724138,1.1882099781034483,2.0397535568965517,2.628066953448275,1.6868389948275868,1.1420323710344826,31.579412248817093,15.85848981574712,8.843281917557054,4.438473594815235
Case0_sample15,6.953867179310343,16.867054189655175,41.40798529310346,12.344340793103452,6.97417558448276,3.106441760344827,6.546001653448274,12.020325858620689,4.936566584482758,3.1077860965517248,1.6199292534482765,3.276932139655172,4.929162772413793,2.553855493103449,1.5451867465517242,0.989711635,1.8177293517241375,2.352499756896552,1.4648794825862068,0.9077173474137932,33.52127263339529,16.801184809212923,9.287821262729612,4.668269907878841
Case0_sample16,9.59912614137931,22.790258620689652,52.7248840517241,16.85117298275862,9.55022286034483,4.333400251724137,9.019846262068965,16.242887068965516,6.8935901293103425,4.32306056724138,2.205960794827587,4.344061460344826,6.578345237931035,3.3595822224137923,2.2020104689655167,1.236342735689655,2.165162251724139,2.9452295827586217,1.8808245758620694,1.2134786094827585,29.18554931258889,14.675943214889724,8.335681257810778,4.275596745808178
Case0_sample17,9.495809525862072,22.665746534482754,52.38415539655173,16.58927232758621,9.51536192586207,4.373320415517241,9.116320993103447,15.854374672413794,6.82699735862069,4.388007518965517,2.156629672413793,4.2952033155172415,6.481586246551723,3.426941025862068,2.2330096586206896,1.150075608448276,2.21056275,2.988474748275862,1.8864396017241387,1.2712328994827584,29.331172805405544,14.718356156508014,8.345169605871842,4.256732812703567
