CASE0__sample0,CASE0__sample1,CASE0__sample10,CASE0__sample11,CASE0__sample12,CASE0__sample13,CASE0__sample14,CASE0__sample15,CASE0__sample16,CASE0__sample17,CASE0__sample18,CASE0__sample19,CASE0__sample2,CASE0__sample3,CASE0__sample4,CASE0__sample5,CASE0__sample6,CASE0__sample7,CASE0__sample8,CASE0__sample9,CASE1__sample0,CASE1__sample1,CASE1__sample10,CASE1__sample11,CASE1__sample12,CASE1__sample13,CASE1__sample14,CASE1__sample15,CASE1__sample16,CASE1__sample17,CASE1__sample18,CASE1__sample19,CASE1__sample2,CASE1__sample3,CASE1__sample4,CASE1__sample5,CASE1__sample6,CASE1__sample7,CASE1__sample8,CASE1__sample9,CASE2__sample0,CASE2__sample1,CASE2__sample10,CASE2__sample11,CASE2__sample12,CASE2__sample13,CASE2__sample14,CASE2__sample15,CASE2__sample16,CASE2__sample17,CASE2__sample18,CASE2__sample19,CASE2__sample2,CASE2__sample3,CASE2__sample4,CASE2__sample5,CASE2__sample6,CASE2__sample7,CASE2__sample8,CASE2__sample9,CASE3__sample0,CASE3__sample1,CASE3__sample10,CASE3__sample11,CASE3__sample12,CASE3__sample13,CASE3__sample14,CASE3__sample15,CASE3__sample16,CASE3__sample17,CASE3__sample18,CASE3__sample19,CASE3__sample2,CASE3__sample3,CASE3__sample4,CASE3__sample5,CASE3__sample6,CASE3__sample7,CASE3__sample8,CASE3__sample9,CASE4__sample0,CASE4__sample1,CASE4__sample10,CASE4__sample11,CASE4__sample12,CASE4__sample13,CASE4__sample14,CASE4__sample15,CASE4__sample16,CASE4__sample17,CASE4__sample18,CASE4__sample19,CASE4__sample2,CASE4__sample3,CASE4__sample4,CASE4__sample5,CASE4__sample6,CASE4__sample7,CASE4__sample8,CASE4__sample9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15875798,0.18098227,0.17945372,0.15039603,0.18287923,0.17337958,0.16024514,0.15248984,0.15664666,0.16741556,0.16428332,0.16333878,0.14975626,0.1756262,0.18637135,0.15495267,0.18417885,0.17154959,0.16964132,0.1736626,0.17840309,0.15496162,0.1825558,0.17686016,0.18007626,0.14982524,0.15960602,0.16920361,0.164733,0.18454908,0.17432776,0.17329368,0.18564819,0.16986268,0.15707934,0.161897,0.15150652,0.16696269,0.15297658,0.16055263,0.17685688,0.17897608,0.15182199,0.15921642,0.15444503,0.18129792,0.18418723,0.14885288,0.17262051,0.17463778,0.16709341,0.18713083,0.16543373,0.15766868,0.16866752,0.15304024,0.16108393,0.16242868,0.1826059,0.17055742,0.18617199,0.15356204,0.1704416,0.17729388,0.149499,0.15844323,0.15512211,0.16584097,0.16124143,0.16837066,0.17431221,0.16556294,0.17942593,0.15147393,0.1720934,0.18468856,0.1831835,0.17997072,0.16336946,0.15688779,0.17184297,0.17699549,0.16696082,0.16155778,0.16781389,0.15798897,0.17465795,0.15314417,0.18551837,0.15050263,0.1798,0.16493072,0.14812482,0.15781765,0.1540552,0.17912505,0.18510129,0.1716257,0.18247401,0.1627536
0.73841625,0.8537831,0.84562319,0.69569227,0.87523167,0.81624087,0.74625098,0.70672583,0.72737923,0.78429379,0.77726441,0.77218451,0.70043598,0.83517468,0.88299566,0.71852877,0.87108332,0.81695054,0.8065307,0.81771467,0.85049373,0.71857534,0.87342858,0.84194929,0.85959366,0.69273568,0.75194742,0.80403416,0.77972213,0.8843441,0.82127279,0.81576001,0.87906442,0.79730781,0.7382728,0.76440177,0.70983915,0.79180304,0.71789048,0.75703092,0.84198576,0.85363454,0.70319452,0.74976349,0.71578082,0.86645399,0.87118115,0.69568304,0.82285436,0.82972343,0.78262017,0.89870195,0.78353512,0.73280649,0.79101773,0.7095252,0.7506824,0.7671875,0.86259672,0.81154978,0.89344536,0.71227834,0.81086324,0.83393904,0.6910717,0.73683852,0.71940991,0.77599414,0.7607506,0.79948141,0.83218805,0.78424073,0.84541855,0.70978145,0.80921029,0.87394598,0.87677957,0.84841368,0.77225924,0.73722039,0.81867462,0.84267806,0.79186251,0.76253683,0.78644184,0.74321329,0.82996771,0.71007156,0.88973251,0.69622159,0.85802258,0.78073164,0.6839018,0.7334802,0.71489924,0.85430204,0.87614387,0.80681685,0.86190015,0.75956441
1.6805273,1.9685491,1.9467636,1.5741754,1.9795072,1.8885357,1.7013028,1.6031888,1.6512917,1.8028265,1.7321751,1.7192352,1.549374,1.8749711,2.0471035,1.6279141,2.0149585,1.8337879,1.8068596,1.8925122,1.91503,1.6280374,1.9748077,1.8927807,1.938832,1.566379,1.6679261,1.8005005,1.7383861,2.0033524,1.9020945,1.887248,2.0364746,1.8376926,1.6333948,1.6994702,1.5727962,1.7691598,1.5926669,1.6808227,1.8928406,1.9232372,1.5938802,1.662423,1.6207089,1.9566843,2.0151935,1.537572,1.8489289,1.8608864,1.7983255,2.0408138,1.7480677,1.6656185,1.8207837,1.6105987,1.7130886,1.706574,1.9920904,1.8197399,2.0270529,1.6178529,1.8180082,1.9335562,1.5619811,1.6763117,1.6302422,1.7805903,1.6902413,1.7887795,1.8731583,1.7498438,1.9462461,1.5726123,1.8696666,2.0226737,1.983629,1.9541612,1.7194692,1.63076,1.8382094,1.8947273,1.7692871,1.6947305,1.8085401,1.6458645,1.8614493,1.6120386,2.0174331,1.5755801,1.9347695,1.7409864,1.5431725,1.6674447,1.6247612,1.925059,2.0285623,1.863186,1.9902236,1.7367675
2.5685453,2.9370783,2.9699692,2.4852587,3.0135555,2.8784734,2.6023713,2.5131665,2.520634,2.7679423,2.7374118,2.715294,2.4495193,2.8515811,3.0329275,2.566375,3.0090633,2.8007116,2.7673727,2.88504,2.9136208,2.5665827,3.0058373,2.8787626,2.9513779,2.4717987,2.6286103,2.757413,2.7136974,3.0515602,2.9006143,2.8765592,3.0163104,2.8245183,2.6226081,2.68187,2.4922354,2.7651537,2.5296036,2.650543,2.8786647,2.9262849,2.497403,2.6194371,2.5540437,2.9782571,3.0093315,2.4280432,2.8242014,2.8607606,2.7606335,3.1094242,2.7297716,2.5440001,2.7969313,2.5258215,2.6215951,2.6939023,2.9738235,2.7769004,3.0885445,2.5379063,2.7854591,2.9664435,2.4641787,2.5615737,2.570346,2.7318101,2.6664446,2.7380085,2.8622091,2.7328593,2.9692392,2.4915152,2.8770666,3.0059125,3.020689,2.9385822,2.7159933,2.6179461,2.8067899,2.8818653,2.7651238,2.6736536,2.7770949,2.6445728,2.8611985,2.5282331,3.0733481,2.4876688,2.9453273,2.7183064,2.4314014,2.547109,2.5497083,2.9297297,3.0152064,2.8661028,2.9707904,2.6597803
2.7249172,3.0947823,3.1207636,2.6467438,3.054711,2.9733602,2.7539451,2.6781474,2.6807509,2.9182744,2.8413967,2.8216322,2.607384,2.9250376,3.2123989,2.6856647,3.1603054,2.8954809,2.9244939,2.9794484,2.9749773,2.6858551,3.0484678,2.946368,3.0071962,2.6336042,2.7472728,2.9171661,2.7982514,3.0999744,2.9937918,2.9710957,3.1970916,2.9698059,2.7608009,2.7928558,2.6351869,2.8446857,2.6646467,2.7647441,2.9459899,2.9844741,2.663766,2.7384102,2.6744891,3.0263707,3.1603957,2.589258,2.9175278,2.9597713,2.911573,3.1464954,2.8137018,2.701661,2.9442873,2.6904388,2.7708583,2.8043994,3.1286667,2.8766475,3.1307125,2.65141,2.9420748,3.0652212,2.6261239,2.7174495,2.6892903,2.8836164,2.7798212,2.8995857,2.9474123,2.8162694,3.1202534,2.6339369,2.9917711,3.1050273,3.0735058,3.0785184,2.8226292,2.7569305,2.9016976,2.9486539,2.8443597,2.7863481,2.9267475,2.7790244,2.9594253,2.6926279,3.1193505,2.6491604,3.0008454,2.8028106,2.5958502,2.7044417,2.6614817,2.988032,3.1129366,2.9813451,3.1260741,2.8170434
2.5243815,2.8801116,2.860822,2.4158912,2.9501923,2.7761299,2.5474203,2.4473936,2.488699,2.6652129,2.6852306,2.6635854,2.4888998,2.8279272,2.9255137,2.4771724,2.8925488,2.7503622,2.7680308,2.7802852,2.8772545,2.4773238,2.9447464,2.8472326,2.9067715,2.4061592,2.6204953,2.7591765,2.6839891,2.9608789,2.7699394,2.7753079,2.920591,2.7057927,2.617188,2.6503054,2.5230561,2.7146251,2.5401509,2.629214,2.8469816,2.8867271,2.4228278,2.6146902,2.4541701,2.9143302,2.8925877,2.4797833,2.7659648,2.8022881,2.6600596,2.9956986,2.6894894,2.5130437,2.6863519,2.4566791,2.558328,2.6587265,2.8981202,2.7341661,2.9818779,2.4532056,2.7807835,2.8201265,2.4007101,2.5279584,2.4800247,2.62703,2.6404027,2.7468654,2.8207072,2.6973507,2.8604727,2.52211,2.7591029,2.8988355,2.9512302,2.863636,2.6642637,2.6142306,2.7540718,2.8493741,2.7143723,2.6452118,2.6730771,2.6324953,2.8021427,2.458493,2.9720865,2.3856054,2.9020076,2.6811319,2.3825155,2.517496,2.4556975,2.8898953,2.9051131,2.7521936,2.9038376,2.5765826
2.889487,3.3423987,3.2999155,2.7262556,3.3805984,3.181219,2.9195752,2.7865131,2.8658298,3.0600404,3.0113376,2.9958538,2.7435136,3.25471,3.4228859,2.8343481,3.3823341,3.1529015,3.1138947,3.1859364,3.2919165,2.8345174,3.3745045,3.2808591,3.3275064,2.7157906,2.9485372,3.1106478,3.022704,3.3991747,3.2209454,3.1794434,3.4124531,3.1095919,2.8947864,2.9853361,2.789003,3.0662304,2.8166125,2.9517022,3.2807952,3.30352,2.7590225,2.9412893,2.8213052,3.3487458,3.3825991,2.7351639,3.1744499,3.2135343,3.0533882,3.4463673,3.0376968,2.8837272,3.0867335,2.7820218,2.9330766,2.9865284,3.3579439,3.1291197,3.4277939,2.79676,3.1294087,3.2764315,2.7098156,2.8981984,2.8375378,3.0240537,2.964581,3.0954561,3.2280036,3.0381743,3.2992833,2.7884881,3.1534851,3.3956568,3.3886667,3.310383,2.9961789,2.8909003,3.1600146,3.2834122,3.0662195,2.9704477,3.0699561,2.912424,3.214031,2.7839486,3.4146194,2.7234812,3.3208427,3.0280612,2.6888536,2.886426,2.8022053,3.3063924,3.4033546,3.1450282,3.3726075,2.9648338
3.2653699,3.7701924,3.7281637,3.0924434,3.8048425,3.592614,3.2997986,3.1453889,3.2242828,3.4613968,3.4123352,3.3942888,3.0937843,3.6421823,3.8908702,3.1884343,3.8456137,3.5654442,3.5209429,3.6005842,3.7127661,3.1886279,3.7974556,3.6659554,3.735275,3.0792626,3.3020286,3.5015946,3.4245338,3.8413872,3.6286825,3.5913895,3.8768133,3.5185935,3.2580422,3.359222,3.1238494,3.4623456,3.1557479,3.3167854,3.6660014,3.7258024,3.123153,3.2932555,3.1762241,3.7608908,3.8457786,3.0702684,3.5770541,3.6174634,3.4543899,3.883332,3.4296841,3.2437644,3.490915,3.1470243,3.3261517,3.3597504,3.8064282,3.5420769,3.8761736,3.1567125,3.5367177,3.6818931,3.0721529,3.2577086,3.191918,3.4205625,3.3329471,3.4938441,3.6126152,3.4311096,3.7274373,3.123414,3.576294,3.8401964,3.7973676,3.7500253,3.3931179,3.2538882,3.5738113,3.6554362,3.4624611,3.340109,3.4733229,3.2655774,3.6182187,3.1491439,3.8646972,3.0949836,3.7413619,3.4288955,3.0440649,3.2465404,3.1659103,3.7171178,3.8513794,3.566698,3.8029941,3.3636161
3.7289462,4.2998379,4.2592814,3.5137301,4.331484,4.0943761,3.7691697,3.5679367,3.671599,3.9577601,3.878582,3.8546807,3.5045686,4.1425449,4.435561,3.6396098,4.3816486,4.0393845,4.0150173,4.1138803,4.2266099,3.6398597,4.3232686,4.1956044,4.2520839,3.5101645,3.7469142,3.9791485,3.8886048,4.3781917,4.1297775,4.0921896,4.4213759,4.0059951,3.6962051,3.8174819,3.539956,3.9317983,3.5879478,3.7716082,4.1956475,4.2562133,3.5638675,3.7370636,3.6270156,4.2876114,4.3819607,3.4826301,4.1004685,4.1238804,3.9496134,4.4346383,3.895571,3.7018474,3.9755319,3.6074794,3.7935986,3.8186522,4.3417028,4.0257418,4.4153994,3.6190111,4.0226939,4.2027865,3.5022299,3.7112705,3.6439644,3.8981864,3.7877604,3.9826741,4.1169814,3.8992912,4.2584944,3.549299,4.0873244,4.3905182,4.3361732,4.2767517,3.8547375,3.6914083,4.0483152,4.1951809,3.9427051,3.7960746,3.9663634,3.6961271,4.1246995,3.6104779,4.4155349,3.5165252,4.2765412,3.8932893,3.463627,3.6965531,3.6125945,4.2479421,4.4015374,4.0756462,4.3379773,3.8373244
