Case_sample,PATH_LENGTH,ANGLE_INCREMENT,NUMBER_RADIATION_ANGLES,HRRPUA,SOOT_YIELD,RADIATIVE_FRACTION,TMPA,EMISSIVITY_Burner,EMISSIVITY_Panel
Case_sample0,1.0,1.0,347.77499992623814,291.58412967306435,0.0210150724088694,0.262688405110869,14.542946002636915,0.8189312731985295,0.8300009004139638
Case_sample1,1.0,1.0,450.7072375829952,335.3358620958811,0.0241683504213247,0.3021043802665596,16.585297593323894,0.8560981581620306,0.8594927736413625
Case_sample2,0.1,1.0,306.59277861136894,274.0794725455886,0.0197534754987811,0.2469184437347648,13.725820317572932,0.8330758795905704,0.8403483360038155
Case_sample3,0.1,1.1,425.75162463178185,324.728385515708,0.0234038476047356,0.2925480950591965,16.09013556277094,0.9010873362083968,0.8794661370529203
Case_sample4,1.0,1.0,475.9338113454411,346.0585115818416,0.0249411539878804,0.3117644248485059,17.08583594966586,0.865549768660804,0.9824183311068582
Case_sample5,1.0,1.0,330.36719168745014,284.1848757029826,0.0204817928434581,0.2560224105432278,14.197545322964343,0.9439677680857586,0.8653744864045918
Case_sample6,1.0,1.1,465.6656194213392,341.6939782174011,0.0246265930246775,0.3078324128084695,16.882097465133924,0.83877285906379,0.9516850614198932
Case_sample7,0.1,1.1,406.8101500612973,316.67724093780686,0.0228235849324545,0.285294811655682,15.714304320784464,0.850936989865168,0.9354095052577376
Case_sample8,0.1,1.1,397.9796017308276,312.92378335739545,0.0225530654671996,0.2819133183399961,15.539091143261658,0.9347047528884076,0.9778430469479013
Case_sample9,1.0,1.0,416.6535476387436,320.86121387712984,0.023125132531685,0.2890641566460631,15.909614159156972,0.9266847127307,0.9154704656485836
Case_sample10,1.0,1.0,443.5934627752461,332.31212551937057,0.0239504234608555,0.2993802932606943,16.44414813786521,0.9665988608101652,0.9488806735137136
Case_sample11,1.0,1.1,309.53007206171105,275.3279801075752,0.0198434580257711,0.2480432253221401,13.78410124187019,0.8881714283057955,0.896318410069175
Case_sample12,0.1,1.0,459.6084785090944,339.1193678283454,0.02444103551916,0.3055129439895004,16.76191343281559,0.9577717627590738,0.9598420566436148
Case_sample13,1.0,1.0,415.3530866747994,320.3084480826998,0.0230852935555098,0.2885661694438738,15.883810790078428,0.9784559536900812,0.873990154934331
Case_sample14,1.0,1.0,354.6119754161378,294.4902116647232,0.0212245197596196,0.2653064969952463,14.678603286352518,0.8130976045517363,0.967050322145962
Case_sample15,1.0,1.1,319.11899251529303,279.4037865940502,0.0201372098446161,0.2517151230577031,13.974361818995206,0.9817006468512796,0.8876236696501376
Case_sample16,1.0,1.1,338.10452360600385,287.47365756057644,0.0207188221665279,0.2589852770816007,14.35106721767168,0.912633166495897,0.8459110547745448
Case_sample17,1.0,1.1,387.6850237562768,308.54803450356883,0.0222376961804373,0.2779712022554675,15.334829114373424,0.8760368470104963,0.9059698147441252
Case_sample18,0.1,1.1,373.2219396534349,302.40044653616883,0.0217946267773814,0.2724328347172694,15.047856796505624,0.8916974484261354,0.9211221082305084
Case_sample19,0.1,1.0,368.8934753075382,300.5606165842068,0.0216620264204833,0.2707753302560424,14.96197266298904,0.9506756854341808,0.9336619484149806
Case_sample0,0.1,1.1,438.7083408576135,330.23568618550684,0.0238007701755319,0.2975096271941504,16.34721896634125,0.9692439878969926,0.927155622246716
Case_sample1,1.0,1.1,330.4080969131052,284.2022626220693,0.0204830459547436,0.256038074434297,14.198356952581904,0.943521856650363,0.9826994772305602
Case_sample2,1.0,1.1,472.54249365239866,344.61701931814923,0.0248372626535602,0.3104657831695039,17.018546408093794,0.8641499054053315,0.9772945885427504
Case_sample3,1.0,1.1,398.99004963120206,313.3532780149565,0.0225840200371139,0.282300250463925,15.559140157288905,0.8562370545974283,0.934821953209721
Case_sample4,0.1,1.1,340.0762284927143,288.3117380937888,0.0207792243671198,0.2597403045889991,14.39018921388405,0.8762392191069008,0.830883794998097
Case_sample5,0.1,1.0,362.2574827209762,297.7399631269758,0.0214587360812234,0.2682342010152937,14.830303223720202,0.9878888276234984,0.9483009940813144
Case_sample6,0.1,1.1,314.5834452503978,277.47593527319907,0.0199982656052755,0.2499783200659454,13.884368806291215,0.8206539432050117,0.856087776916111
Case_sample7,0.1,1.0,385.57492210122,307.65112790658173,0.0221730542635373,0.277163178294218,15.292961089643532,0.8372001421938918,0.9664074438885282
Case_sample8,0.1,1.0,321.3379355590108,280.34695663018545,0.0202051860634367,0.2525648257929602,14.018389442975296,0.9773188557649412,0.8629048928993853
Case_sample9,0.1,1.1,356.0411103483853,295.0976708104215,0.0212683005989492,0.2658537574868664,14.706959766971496,0.8855624446896267,0.8404612096749089
Case_sample10,0.1,1.1,458.093018196424,338.4752157569754,0.0243946101446468,0.304932626808086,16.731844109048176,0.9532744707019476,0.9059340368408124
Case_sample11,0.1,1.0,431.4927827391616,327.1686862322705,0.0235797251338573,0.2947465641732167,16.2040499559671,0.8946879403594307,0.8893769018608162
Case_sample12,0.1,1.1,446.462827272495,333.53175962589603,0.0240383250180825,0.3004790627260326,16.501081235586827,0.8540219133685174,0.9154993507008506
Case_sample13,1.0,1.1,306.9328040633157,274.22400163510605,0.0197638920097373,0.2470486501217174,13.732567003921805,0.9254612736166394,0.8467430712852321
Case_sample14,0.1,1.1,351.6965082010552,293.25098142562985,0.0211352058685138,0.2641900733564236,14.620755431881738,0.9305283417543094,0.8959943269259806
Case_sample15,0.1,1.1,395.9223114034479,312.04932441266993,0.0224900413991113,0.281125517488892,15.49827098557073,0.8292006642332924,0.9180964220115904
Case_sample16,0.1,1.1,375.29825941830063,303.2829940144384,0.0218582338028423,0.2732279225355303,15.089054530773186,0.9076357010386524,0.9629748963612422
Case_sample17,0.1,1.1,467.3838977285431,342.4243388355721,0.0246792316277889,0.3084903953473623,16.916191044695104,0.8186449657170821,0.9567612714932432
Case_sample18,1.0,1.0,419.738149362337,322.1723353713662,0.0232196277745128,0.2902453471814111,15.970817931466136,0.9168796890661048,0.872013132894726
Case_sample19,1.0,1.1,414.9471861761481,320.1359185583101,0.0230728589951934,0.2884107374399192,15.87575703016848,0.9543315103811736,0.8784142511954066
Case_sample0,0.1,1.0,431.4935925983444,327.16903046594376,0.0235797499434914,0.2947468742936431,16.204066024958003,0.9511318844075048,0.9804286214942814
Case_sample1,0.1,1.0,441.35822248321136,331.36202827691176,0.0238819479839215,0.2985243497990197,16.399797148613153,0.972094343613013,0.9317944417713316
Case_sample2,0.1,1.1,378.5310299559093,304.6570952169933,0.0219572681237472,0.274465851546841,15.153198225694382,0.9064576110278476,0.9004736856743089
Case_sample3,1.0,1.0,342.81047165943164,289.4739383736278,0.0208629865494506,0.2607873318681334,14.4444412733748,0.9855100098348356,0.8541765541056858
Case_sample4,1.0,1.0,393.4812434329001,311.0117393459831,0.0224152604934041,0.2801907561675525,15.44983602324874,0.9658443586087582,0.9476668252634816
